Feature of type 0 starts(1, 6) ends(28, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(28, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(28, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(28, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(28, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(28, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(28, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(28, 12) in (x, y) format
Feature of type 0 starts(2, 6) ends(21, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(21, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(21, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(21, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(21, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(21, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(21, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(21, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(21, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(21, 12) in (x, y) format
Feature of type 2 starts(2, 6) ends(21, 12) in (x, y) format
Feature of type 3 starts(2, 6) ends(21, 12) in (x, y) format
Feature of type 0 starts(2, 6) ends(22, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(22, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(22, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(22, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(22, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(22, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(22, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(22, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(22, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(22, 12) in (x, y) format
Feature of type 2 starts(2, 6) ends(22, 12) in (x, y) format
Feature of type 3 starts(2, 6) ends(22, 12) in (x, y) format
Feature of type 0 starts(2, 6) ends(23, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(23, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(23, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(23, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(23, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(23, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(23, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(23, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(23, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(23, 12) in (x, y) format
Feature of type 2 starts(2, 6) ends(23, 12) in (x, y) format
Feature of type 3 starts(2, 6) ends(23, 12) in (x, y) format
