Index 60->Feature of type 0 starts(4, 5) ends(28, 9) is 0
Index 61->Feature of type 1 starts(4, 5) ends(28, 9) is 0
Index 62->Feature of type 2 starts(4, 5) ends(28, 9) is 0
Index 63->Feature of type 3 starts(4, 5) ends(28, 9) is 0
Index 64->Feature of type 0 starts(4, 5) ends(28, 10) is 0
Index 65->Feature of type 1 starts(4, 5) ends(28, 10) is 0
Index 66->Feature of type 2 starts(4, 5) ends(28, 10) is 0
Index 67->Feature of type 3 starts(4, 5) ends(28, 10) is 0
Index 68->Feature of type 0 starts(4, 5) ends(29, 9) is 0
Index 69->Feature of type 1 starts(4, 5) ends(29, 9) is 0
Index 6a->Feature of type 2 starts(4, 5) ends(29, 9) is 0
Index 6b->Feature of type 3 starts(4, 5) ends(29, 9) is 0
Index 6c->Feature of type 0 starts(4, 5) ends(29, 10) is 0
Index 6d->Feature of type 1 starts(4, 5) ends(29, 10) is 0
Index 6e->Feature of type 2 starts(4, 5) ends(29, 10) is 0
Index 6f->Feature of type 3 starts(4, 5) ends(29, 10) is 0
Index 70->Feature of type 0 starts(5, 5) ends(24, 9) is 0
Index 71->Feature of type 1 starts(5, 5) ends(24, 9) is 0
Index 72->Feature of type 2 starts(5, 5) ends(24, 9) is 0
Index 73->Feature of type 3 starts(5, 5) ends(24, 9) is 0
Index 74->Feature of type 0 starts(5, 5) ends(24, 10) is 0
Index 75->Feature of type 1 starts(5, 5) ends(24, 10) is 0
Index 76->Feature of type 2 starts(5, 5) ends(24, 10) is 0
Index 77->Feature of type 3 starts(5, 5) ends(24, 10) is 0
Index 78->Feature of type 0 starts(5, 5) ends(25, 9) is 0
Index 79->Feature of type 1 starts(5, 5) ends(25, 9) is 0
Index 7a->Feature of type 2 starts(5, 5) ends(25, 9) is 0
Index 7b->Feature of type 3 starts(5, 5) ends(25, 9) is 0
Index 7c->Feature of type 0 starts(5, 5) ends(25, 10) is 0
Index 7d->Feature of type 1 starts(5, 5) ends(25, 10) is 0
Index 7e->Feature of type 2 starts(5, 5) ends(25, 10) is 0
Index 7f->Feature of type 3 starts(5, 5) ends(25, 10) is 0
Index 80->Feature of type 0 starts(5, 5) ends(26, 9) is 0
Index 81->Feature of type 1 starts(5, 5) ends(26, 9) is 0
Index 82->Feature of type 2 starts(5, 5) ends(26, 9) is 0
Index 83->Feature of type 3 starts(5, 5) ends(26, 9) is 0
Index 84->Feature of type 0 starts(5, 5) ends(26, 10) is 0
Index 85->Feature of type 1 starts(5, 5) ends(26, 10) is 0
Index 86->Feature of type 2 starts(5, 5) ends(26, 10) is 0
Index 87->Feature of type 3 starts(5, 5) ends(26, 10) is 0
Index 88->Feature of type 0 starts(5, 5) ends(27, 9) is 0
Index 89->Feature of type 1 starts(5, 5) ends(27, 9) is 0
Index 8a->Feature of type 2 starts(5, 5) ends(27, 9) is 0
Index 8b->Feature of type 3 starts(5, 5) ends(27, 9) is 0
Index 8c->Feature of type 0 starts(5, 5) ends(27, 10) is 0
Index 8d->Feature of type 1 starts(5, 5) ends(27, 10) is 0
Index 8e->Feature of type 2 starts(5, 5) ends(27, 10) is 0
Index 8f->Feature of type 3 starts(5, 5) ends(27, 10) is 0
Index 90->Feature of type 0 starts(5, 5) ends(28, 9) is 0
Index 91->Feature of type 1 starts(5, 5) ends(28, 9) is 0
Index 92->Feature of type 2 starts(5, 5) ends(28, 9) is 0
Index 93->Feature of type 3 starts(5, 5) ends(28, 9) is 0
Index 94->Feature of type 0 starts(5, 5) ends(28, 10) is 0
Index 95->Feature of type 1 starts(5, 5) ends(28, 10) is 0
Index 96->Feature of type 2 starts(5, 5) ends(28, 10) is 0
Index 97->Feature of type 3 starts(5, 5) ends(28, 10) is 0
Index 98->Feature of type 0 starts(5, 5) ends(29, 9) is 0
Index 99->Feature of type 1 starts(5, 5) ends(29, 9) is 0
Index 9a->Feature of type 2 starts(5, 5) ends(29, 9) is 0
Index 9b->Feature of type 3 starts(5, 5) ends(29, 9) is 0
Index 9c->Feature of type 0 starts(5, 5) ends(29, 10) is 0
Index 9d->Feature of type 1 starts(5, 5) ends(29, 10) is 0
Index 9e->Feature of type 2 starts(5, 5) ends(29, 10) is 0
Index 9f->Feature of type 3 starts(5, 5) ends(29, 10) is 0
Index a0->Feature of type 0 starts(5, 5) ends(30, 9) is 0
Index a1->Feature of type 1 starts(5, 5) ends(30, 9) is 0
Index a2->Feature of type 2 starts(5, 5) ends(30, 9) is 0
Index a3->Feature of type 3 starts(5, 5) ends(30, 9) is 0
Index a4->Feature of type 0 starts(5, 5) ends(30, 10) is 0
Index a5->Feature of type 1 starts(5, 5) ends(30, 10) is 0
Index a6->Feature of type 2 starts(5, 5) ends(30, 10) is 0
Index a7->Feature of type 3 starts(5, 5) ends(30, 10) is 0
Index a8->Feature of type 0 starts(6, 5) ends(25, 9) is 0
Index a9->Feature of type 1 starts(6, 5) ends(25, 9) is 0
Index aa->Feature of type 2 starts(6, 5) ends(25, 9) is 0
Index ab->Feature of type 3 starts(6, 5) ends(25, 9) is 0
Index ac->Feature of type 0 starts(6, 5) ends(25, 10) is 0
Index ad->Feature of type 1 starts(6, 5) ends(25, 10) is 0
Index ae->Feature of type 2 starts(6, 5) ends(25, 10) is 0
Index af->Feature of type 3 starts(6, 5) ends(25, 10) is 0
Index b0->Feature of type 0 starts(6, 5) ends(26, 9) is 0
Index b1->Feature of type 1 starts(6, 5) ends(26, 9) is 0
Index b2->Feature of type 2 starts(6, 5) ends(26, 9) is 0
Index b3->Feature of type 3 starts(6, 5) ends(26, 9) is 0
Index b4->Feature of type 0 starts(6, 5) ends(26, 10) is 0
Index b5->Feature of type 1 starts(6, 5) ends(26, 10) is 0
Index b6->Feature of type 2 starts(6, 5) ends(26, 10) is 0
Index b7->Feature of type 3 starts(6, 5) ends(26, 10) is 0
Index b8->Feature of type 0 starts(6, 5) ends(27, 9) is 0
Index b9->Feature of type 1 starts(6, 5) ends(27, 9) is 0
Index ba->Feature of type 2 starts(6, 5) ends(27, 9) is 0
Index bb->Feature of type 3 starts(6, 5) ends(27, 9) is 0
Index bc->Feature of type 0 starts(6, 5) ends(27, 10) is 0
Index bd->Feature of type 1 starts(6, 5) ends(27, 10) is 0
Index be->Feature of type 2 starts(6, 5) ends(27, 10) is 0
Index bf->Feature of type 3 starts(6, 5) ends(27, 10) is 0
Index c0->Feature of type 0 starts(6, 5) ends(28, 9) is 0
Index c1->Feature of type 1 starts(6, 5) ends(28, 9) is 0
Index c2->Feature of type 2 starts(6, 5) ends(28, 9) is 0
Index c3->Feature of type 3 starts(6, 5) ends(28, 9) is 0
Index c4->Feature of type 0 starts(6, 5) ends(28, 10) is 0
Index c5->Feature of type 1 starts(6, 5) ends(28, 10) is 0
Index c6->Feature of type 2 starts(6, 5) ends(28, 10) is 0
Index c7->Feature of type 3 starts(6, 5) ends(28, 10) is 0
Index c8->Feature of type 0 starts(6, 5) ends(29, 9) is 0
Index c9->Feature of type 1 starts(6, 5) ends(29, 9) is 0
Index ca->Feature of type 2 starts(6, 5) ends(29, 9) is 0
Index cb->Feature of type 3 starts(6, 5) ends(29, 9) is 0
Index cc->Feature of type 0 starts(6, 5) ends(29, 10) is 0
Index cd->Feature of type 1 starts(6, 5) ends(29, 10) is 0
Index ce->Feature of type 2 starts(6, 5) ends(29, 10) is 0
Index cf->Feature of type 3 starts(6, 5) ends(29, 10) is 0
Index d0->Feature of type 0 starts(6, 5) ends(30, 9) is 0
Index d1->Feature of type 1 starts(6, 5) ends(30, 9) is 0
Index d2->Feature of type 2 starts(6, 5) ends(30, 9) is 0
Index d3->Feature of type 3 starts(6, 5) ends(30, 9) is 0
Index d4->Feature of type 0 starts(6, 5) ends(30, 10) is 0
Index d5->Feature of type 1 starts(6, 5) ends(30, 10) is 0
Index d6->Feature of type 2 starts(6, 5) ends(30, 10) is 0
Index d7->Feature of type 3 starts(6, 5) ends(30, 10) is 0
Index d8->Feature of type 0 starts(6, 5) ends(31, 9) is 0
Index d9->Feature of type 1 starts(6, 5) ends(31, 9) is 0
Index da->Feature of type 2 starts(6, 5) ends(31, 9) is 0
Index db->Feature of type 3 starts(6, 5) ends(31, 9) is 0
Index dc->Feature of type 0 starts(6, 5) ends(31, 10) is 0
Index dd->Feature of type 1 starts(6, 5) ends(31, 10) is 0
Index de->Feature of type 2 starts(6, 5) ends(31, 10) is 0
Index df->Feature of type 3 starts(6, 5) ends(31, 10) is 0
Index e0->Feature of type 0 starts(7, 5) ends(26, 9) is 0
Index e1->Feature of type 1 starts(7, 5) ends(26, 9) is 0
Index e2->Feature of type 2 starts(7, 5) ends(26, 9) is 0
Index e3->Feature of type 3 starts(7, 5) ends(26, 9) is 0
Index e4->Feature of type 0 starts(7, 5) ends(26, 10) is 0
Index e5->Feature of type 1 starts(7, 5) ends(26, 10) is 0
Index e6->Feature of type 2 starts(7, 5) ends(26, 10) is 0
Index e7->Feature of type 3 starts(7, 5) ends(26, 10) is 0
Index e8->Feature of type 0 starts(7, 5) ends(27, 9) is 0
Index e9->Feature of type 1 starts(7, 5) ends(27, 9) is 0
Index ea->Feature of type 2 starts(7, 5) ends(27, 9) is 0
Index eb->Feature of type 3 starts(7, 5) ends(27, 9) is 0
Index ec->Feature of type 0 starts(7, 5) ends(27, 10) is 0
Index ed->Feature of type 1 starts(7, 5) ends(27, 10) is 0
Index ee->Feature of type 2 starts(7, 5) ends(27, 10) is 0
Index ef->Feature of type 3 starts(7, 5) ends(27, 10) is 0
Index f0->Feature of type 0 starts(7, 5) ends(28, 9) is 0
Index f1->Feature of type 1 starts(7, 5) ends(28, 9) is 0
Index f2->Feature of type 2 starts(7, 5) ends(28, 9) is 0
Index f3->Feature of type 3 starts(7, 5) ends(28, 9) is 0
Index f4->Feature of type 0 starts(7, 5) ends(28, 10) is 0
Index f5->Feature of type 1 starts(7, 5) ends(28, 10) is 0
Index f6->Feature of type 2 starts(7, 5) ends(28, 10) is 0
Index f7->Feature of type 3 starts(7, 5) ends(28, 10) is 0
Index f8->Feature of type 0 starts(7, 5) ends(29, 9) is 0
Index f9->Feature of type 1 starts(7, 5) ends(29, 9) is 0
Index fa->Feature of type 2 starts(7, 5) ends(29, 9) is 0
Index fb->Feature of type 3 starts(7, 5) ends(29, 9) is 0
Index fc->Feature of type 0 starts(7, 5) ends(29, 10) is 0
Index fd->Feature of type 1 starts(7, 5) ends(29, 10) is 0
Index fe->Feature of type 2 starts(7, 5) ends(29, 10) is 0
Index ff->Feature of type 3 starts(7, 5) ends(29, 10) is 0
Index 100->Feature of type 0 starts(7, 5) ends(30, 9) is 0
Index 101->Feature of type 1 starts(7, 5) ends(30, 9) is 0
Index 102->Feature of type 2 starts(7, 5) ends(30, 9) is 0
Index 103->Feature of type 3 starts(7, 5) ends(30, 9) is 0
Index 104->Feature of type 0 starts(7, 5) ends(30, 10) is 0
Index 105->Feature of type 1 starts(7, 5) ends(30, 10) is 0
Index 106->Feature of type 2 starts(7, 5) ends(30, 10) is 0
Index 107->Feature of type 3 starts(7, 5) ends(30, 10) is 0
Index 108->Feature of type 0 starts(7, 5) ends(31, 9) is 0
Index 109->Feature of type 1 starts(7, 5) ends(31, 9) is 0
Index 10a->Feature of type 2 starts(7, 5) ends(31, 9) is 0
Index 10b->Feature of type 3 starts(7, 5) ends(31, 9) is 0
Index 10c->Feature of type 0 starts(7, 5) ends(31, 10) is 0
Index 10d->Feature of type 1 starts(7, 5) ends(31, 10) is 0
Index 10e->Feature of type 2 starts(7, 5) ends(31, 10) is 0
Index 10f->Feature of type 3 starts(7, 5) ends(31, 10) is 0
Index 110->Feature of type 0 starts(7, 5) ends(31, 9) is 0
Index 111->Feature of type 1 starts(7, 5) ends(31, 9) is 0
Index 112->Feature of type 2 starts(7, 5) ends(31, 9) is 0
Index 113->Feature of type 3 starts(7, 5) ends(31, 9) is 0
Index 114->Feature of type 0 starts(7, 5) ends(31, 10) is 0
Index 115->Feature of type 1 starts(7, 5) ends(31, 10) is 0
Index 116->Feature of type 2 starts(7, 5) ends(31, 10) is 0
