[186, 0]
[190, 2.429173927396956e-10]
[826, 2.5400760329982265e-10]
[645, 2.6577561651411874e-10]
[837, 2.658664972362254e-10]
[522, 3.3507824284490105e-10]
[906, 3.3519223090514866e-10]
[346, 3.4942305766919234e-10]
[262, 3.6457437578364725e-10]
[1398, 3.648221893397768e-10]
[274, 3.8098607761567753e-10]
[750, 3.821617251500025e-06]
[666, 3.904580036639577e-06]
[729, 1.9955810907406627e-05]
[646, 2.0409352064393156e-05]
[334, 2.1992118142856282e-05]
[846, 2.292795295744592e-05]
[858, 2.292795295744592e-05]
[825, 2.394697308888795e-05]
[1230, 2.394697308888795e-05]
[1314, 2.394697308888795e-05]
[1206, 2.5657471166665662e-05]
[1482, 2.5657471166665662e-05]
[1494, 2.5657471166665662e-05]
[1605, 2.5657471166665662e-05]
[1617, 2.5657471166665662e-05]
[1629, 2.5657471166665662e-05]
[658, 2.5657471166665696e-05]
[918, 2.61920018159712e-05]
[1410, 2.6749278450353576e-05]
[1218, 2.7330784503622144e-05]
[1326, 2.7938135270369276e-05]
[718, 2.9322824190475042e-05]
[1290, 2.9322824190475042e-05]
[1689, 2.9322824190475042e-05]
[1701, 2.9322824190475042e-05]
[1713, 2.9322824190475042e-05]
[1725, 2.9322824190475042e-05]
[2597, 2.9322824190475042e-05]
[179, 3.0570603943261226e-05]
[813, 3.0570603943261226e-05]
[834, 3.0570603943261226e-05]
[1302, 3.123518228985388e-05]
[634, 3.298817721428442e-05]
[1593, 3.298817721428442e-05]
[1677, 3.298817721428442e-05]
[2513, 3.298817721428442e-05]
[2741, 3.298817721428442e-05]
[2753, 3.298817721428442e-05]
[2765, 3.298817721428442e-05]
[2777, 3.298817721428442e-05]
[2825, 3.298817721428442e-05]
[2837, 3.298817721428442e-05]
[2849, 3.298817721428442e-05]
[2861, 3.298817721428442e-05]
[2873, 3.298817721428442e-05]
[910, 3.367543090624869e-05]
[1422, 3.439192943616888e-05]
[1434, 3.439192943616888e-05]
[670, 3.5044350861787295e-05]
[2459, 3.513958007608562e-05]
[2543, 3.513958007608562e-05]
[730, 3.592045963333193e-05]
[2555, 3.592045963333193e-05]
[1282, 3.6653530238093805e-05]
[2166, 3.6653530238093805e-05]
