[0, [149748.06217616703, -109137.50204081694, -15188.600858369842, 73187.41116750985, 116240.16842105519, 199884.80000000168, 267581.48471615836, -69339.42857143097, 16699.07692307653, 49079.823788548354, 124025.11827956885, 237979.8882681569, 532807.6799999988, 464801.47692307644, 521465.8755980856, 378616.3960396019, 461454.5154639194, 506538.6666666665, 233125.5721393046, 296692.8695652187, 160889.32701421622, 255865.10179640492, 229545.78238341957, 70020.04210526403, 538691.5164835178, 628602.6982248533, 562246.9702970302, 500320.5485714278, 511180.79999999935, 518854.963730569, 508444.1318681333, 523929.8797814222, 530640.9795918367, 369970.32478632405, 474043.7333333343, 609381.8638743479, 614123.8651685365, 515798.88082901435, 623320.1777777756, 651443.5059760967, 522400.1316872416, 394322.0928270072, 501272.38095238013, 457407.67179487273, 97778.31016042596, 560122.9556650235, 538691.5164835178, -60145.59307359252, 55037.514563106, 207990.56842105323]]
[1, [259087.9170984421, 271773.7795918379, 271144.65236051194, 268132.06091370713, 261109.22105262894, 265420.80000000075, 26042.68995633442, 272969.1428571427, 264979.69230769575, 269650.32599119097, 262144.00000000093, 259215.0167597765, 256245.75999999978, 314236.717948718, 272491.78947368264, 340332.9900990091, 315518.680412367, 277162.6666666679, 349851.3830845775, 271760.69565217197, 271461.9146919437, 262928.8622754486, 264860.51813471504, 262488.9263157891, -294551.9120879099, -187301.11242603324, 54180.75247524772, 223196.89142857026, 28973.810526315123, 98473.78238341957, -91462.3296703333, 92036.89617486205, 63864.16326530557, -413660.99145299196, -425984.0, -52840.54450261779, -368916.1348314611, -212907.1088082902, 144907.3777777776, 302614.4382470092, 423152.197530861, 447414.54852320626, -133022.47619047388, 175770.91282051522, 266699.9786096299, -206938.79802955594, -294551.9120879099, 274627.0476190476, 266279.7669902891, 262488.9263157891]]
[2, [-787450.694300517, -560132.1795918378, -635671.0729613728, -706591.1878172588, -761942.231578948, -810024.9600000018, -652784.3493449767, -589531.4285714286, -675840.0, -686540.1233480182, -761063.2258064491, -858192.0893854774, -921436.1600000004, -969596.7179487178, -935377.4545454537, -946378.7722772285, -964122.3917525776, -939349.3333333312, -859141.0945273661, -889366.2608695677, -772765.7251184834, -860993.9161676648, -841441.4922279823, -721240.9263157882, -673364.3956043948, -829476.3550295881, -882789.3861386129, -571473.9199999995, -733313.347368422, -533116.6839378239, -852688.175824177, -848386.7978142095, -845615.0204081619, -862890.6666666667, -691040.7111111092, -955247.2460732991, -674505.3483146066, -785413.3056994802, -916047.644444443, -1071813.864541834, -786701.6954732495, -801364.2531645573, -629223.6190476199, -538739.5282051289, -735615.3155080215, -843574.226600986, -673364.3956043948, -601455.9307359308, -700217.1650485406, -825408.6736842105]]
[3, [-257050.52849741234, -257864.09795918362, -258768.75536480919, -260813.3197969515, -254900.54736842308, -268042.2400000002, 190311.96506550303, -262436.5714285709, -256787.69230768876, -263876.2290748921, -257211.18279569643, -256286.03351954836, -122552.31999999937, -160311.1384615386, -131385.5693779909, -178764.03960395837, -158772.78350515757, -137215.99999999953, -188782.80597014958, -261787.82608695887, -265249.9715639828, -259789.41317365365, -260785.74093264434, -254900.54736842075, -160599.20879120706, -171014.05917159654, -184603.88118811976, 18724.571428572293, 128312.58947368199, 123601.57512953505, -237658.0219780272, -240298.66666666698, -278528.0, -47331.555555556435, 225006.93333333265, 26763.3926701569, -52281.5280898842, -144994.1554404134, -282532.9777777782, 57180.812749002595, -53669.39917695802, 40372.388185652904, -302323.80952380924, 212067.77435897384, -261092.62032085517, 303790.0295566474, -160599.20879120706, -262144.00000000186, -257371.9611650491, -260419.3684210535]]
[4, [234978.8186528487, -81853.12653061189, 33752.44635193283, 142050.111675126, 193503.66315789428, 298844.16000000155, 252699.94759825477, -29842.28571428638, 72782.76923076902, 116348.05286343722, 204711.91397849564, 340494.30167598044, 678952.9600000004, 600578.6256410237, 666648.4976076554, 499630.8910891074, 596580.2886597938, 649898.6666666679, 321159.0049751261, 410668.5217391341, 247235.33649288956, 363391.2335329326, 331415.21243523434, 134866.1894736858, 633394.6373626371, 810862.5798816574, 668337.4257425759, 527658.4228571435, 579476.2105263146, 517496.7046632115, 656800.3516483493, 635305.2677595648, 659706.7755102031, 511124.7863247865, 557784.1777777793, 693103.2460732991, 762500.3146067411, 676413.0155440401, 752935.8222222221, 726379.0916334651, 617332.9382716035, 429993.5864978926, 563687.6190476199, 493032.3692307705, 169973.04812833993, 646966.226600985, 633394.6373626371, -22980.155844152905, 118346.56310679577, 308019.2000000011]]
[5, [-255352.70466321427, -163171.26530612167, -188451.15879828762, -212576.16243654676, -248002.02105263248, -250347.51999999955, -831935.1615720503, -169106.28571428638, -212676.92307691928, -204691.73568281718, -242060.3870967757, -277521.16201117355, -201195.51999999955, -195263.671794869, -197548.70813397225, -179737.34653465357, -191202.96907216683, -198656.0, -151613.13432835974, -272473.04347826634, -230463.09004739393, -271562.3473053919, -262823.1295336792, -233515.115789474, -852328.0879120873, -736407.4792899396, -648871.287128713, -523164.5257142866, -732623.4947368428, -661472.1658031065, -752583.736263738, -600209.4863387989, -581464.8163265307, -891457.6410256419, -1263388.444444446, -858487.2879581135, -923026.6966292141, -730743.3782383427, -533026.1333333338, -480423.2669322714, -350873.8106995886, -423910.0759493653, -671353.9047619049, -602595.1179487184, -226747.55080213584, -946559.3694581296, -852328.0879120873, -175613.7835497856, -216968.69902912714, -260419.36842105165]]
[6, [-936519.6269430066, -646800.1959183672, -741428.7381974249, -830011.7766497466, -902672.1684210515, -960757.7599999998, -919507.2838427955, -681106.2857142882, -792418.4615384634, -803465.5859030825, -900943.8279569866, -1025144.134078214, -1129185.2799999989, -1179984.0820512797, -1144528.2296650698, -1143311.2079207916, -1171540.4536082465, -1147562.6666666649, -1031947.4626865683, -1062466.7826086963, -915640.4170616101, -1029739.3053892222, -1002395.1917098453, -853692.6315789474, -744301.7142857146, -1077660.0236686384, -1096592.4752475242, -788304.4571428613, -1003045.7263157899, -757229.4300518124, -1096827.780219778, -1082239.3005464491, -1075659.7551020384, -1070141.2649572645, -983039.9999999986, -1222881.172774869, -781645.6629213467, -960289.1606217604, -1167997.1555555556, -1336829.9601593642, -1094154.5349794235, -1129597.2995780613, -715044.5714285723, -806933.0051282069, -868790.0748663107, -1135096.4334975365, -744301.7142857146, -699334.3722943724, -823972.0388349527, -982695.0736842104]]
[7, [-342281.2849740945, -285148.4734693896, -307709.8025751109, -329676.02030456765, -332164.04210526217, -367001.59999999823, 205193.50218341034, -301933.71428571315, -312871.38461538125, -331144.4581497796, -337897.9784946237, -358800.44692737143, -268697.600000001, -296088.28717948496, -276568.19138756255, -299778.53465346387, -293898.556701032, -280575.99999999814, -276816.23880596925, -375763.4782608724, -351595.9810426561, -367315.5449101813, -362655.1709844582, -319746.6947368416, -255302.32967032865, -353273.94082840113, -290694.33663366456, -8613.302857145201, 60017.178947367705, 124959.83419689117, -386014.2417582441, -351674.05464481097, -407593.7959183669, -188486.017094017, 141266.48888888862, -56957.989528796636, -200657.97752808733, -305608.29015544103, -412148.6222222238, -17754.77290836675, -148602.20576131996, 4700.894514767919, -364739.047619049, 176443.07692307606, -333287.3582887687, 216946.75862068497, -255302.32967032865, -299309.43722943915, -320681.0097087389, -360448.0]]
[8, [276745.28497409355, -129199.54285714123, 16876.223175967112, 156022.25380710512, 223512.25263157953, 356188.1599999992, 244972.99563318864, -61732.5714285709, 69631.99999999953, 124431.78854625765, 238184.602150538, 409325.4078212278, 801832.9600000004, 689304.2871794887, 782042.0287081329, 554460.5148514854, 684412.0412371149, 760149.3333333326, 328984.19900497654, 493300.86956522055, 287923.56398104085, 437953.14970059646, 395592.9533678787, 148663.24210526422, 659320.9670329709, 946588.023668637, 754312.8712871275, 602931.2000000007, 686748.2947368408, 527004.5181347164, 774909.1868131859, 732355.8469945374, 764363.7551020412, 571899.6239316231, 620407.4666666659, 790549.4450261779, 791218.3370786519, 770472.455958548, 848327.1111111133, 831341.1314741042, 730605.0370370392, 464282.46413502656, 595675.4285714277, 579741.5384615408, 193103.40106951818, 741234.7586206906, 659320.9670329709, -54471.48051948054, 125345.55339805782, 369761.0105263167]]
[9, [137523.73056995217, 148994.08979591914, 149073.3047210276, 148038.1725888336, 139350.2315789489, 148439.04000000283, -587248.3493449772, 149503.9999999972, 144620.3076923089, 148682.9955947129, 141642.322580643, 139858.9497206714, 153681.9200000018, 187869.8666666653, 168073.18660287, 211207.603960393, 192554.2268041214, 168277.33333333582, 216170.9850746235, 155647.99999999907, 148154.8436018955, 136566.03592814133, 148389.80310880765, 138315.45263157785, -118468.923076923, -134562.08284023684, -439610.29702969827, -323560.5942857135, -555676.2947368426, -413589.8860103637, -297432.6153846141, -347734.7322404366, -300261.8775510192, -113707.76068375818, -716526.9333333317, -580559.7486910978, -234530.51685393136, -87268.14507772215, -185685.33333333395, -261621.8007968124, -152377.94238683116, -313300.7932489477, -59684.57142857183, -447325.2102564117, 146842.69518716726, -598540.6108374409, -118468.923076923, 153201.03896103706, 147615.0679611666, 140729.93684210442]]
