906->Feature of type 2 starts(6, 6) ends(28, 11) in (x, y) format
346->Feature of type 2 starts(6, 5) ends(29, 11) in (x, y) format
262->Feature of type 2 starts(5, 5) ends(29, 11) in (x, y) format
750->Feature of type 2 starts(4, 6) ends(29, 11) in (x, y) format
1398->Feature of type 2 starts(5, 7) ends(28, 12) in (x, y) format
274->Feature of type 2 starts(5, 5) ends(30, 11) in (x, y) format
729->Feature of type 1 starts(4, 6) ends(27, 12) in (x, y) format
646->Feature of type 2 starts(3, 6) ends(27, 12) in (x, y) format
334->Feature of type 2 starts(6, 5) ends(28, 11) in (x, y) format
846->Feature of type 2 starts(5, 6) ends(30, 11) in (x, y) format
858->Feature of type 2 starts(5, 6) ends(31, 11) in (x, y) format
825->Feature of type 1 starts(5, 6) ends(28, 12) in (x, y) format
1230->Feature of type 2 starts(3, 7) ends(28, 12) in (x, y) format
1314->Feature of type 2 starts(4, 7) ends(28, 12) in (x, y) format
1206->Feature of type 2 starts(3, 7) ends(26, 12) in (x, y) format
1482->Feature of type 2 starts(6, 7) ends(28, 12) in (x, y) format
1494->Feature of type 2 starts(6, 7) ends(29, 12) in (x, y) format
1605->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
1617->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
1629->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
658->Feature of type 2 starts(3, 6) ends(28, 12) in (x, y) format
918->Feature of type 2 starts(6, 6) ends(29, 11) in (x, y) format
1410->Feature of type 2 starts(5, 7) ends(29, 12) in (x, y) format
1218->Feature of type 2 starts(3, 7) ends(27, 12) in (x, y) format
1326->Feature of type 2 starts(4, 7) ends(29, 12) in (x, y) format
718->Feature of type 2 starts(4, 6) ends(26, 12) in (x, y) format
1290->Feature of type 2 starts(4, 7) ends(26, 12) in (x, y) format
1689->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1701->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1713->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1725->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
2597->Feature of type 1 starts(6, 9) ends(25, 14) in (x, y) format
179->Feature of type 3 starts(4, 5) ends(29, 11) in (x, y) format
813->Feature of type 1 starts(5, 6) ends(27, 12) in (x, y) format
834->Feature of type 2 starts(5, 6) ends(29, 11) in (x, y) format
1302->Feature of type 2 starts(4, 7) ends(27, 12) in (x, y) format
634->Feature of type 2 starts(3, 6) ends(26, 12) in (x, y) format
1593->Feature of type 1 starts(7, 7) ends(30, 13) in (x, y) format
1677->Feature of type 1 starts(8, 7) ends(30, 13) in (x, y) format
2513->Feature of type 1 starts(5, 9) ends(25, 14) in (x, y) format
2741->Feature of type 1 starts(7, 9) ends(30, 14) in (x, y) format
2753->Feature of type 1 starts(7, 9) ends(31, 14) in (x, y) format
2765->Feature of type 1 starts(7, 9) ends(31, 14) in (x, y) format
2777->Feature of type 1 starts(7, 9) ends(31, 14) in (x, y) format
2825->Feature of type 1 starts(8, 9) ends(30, 14) in (x, y) format
2837->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
2849->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
2861->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
2873->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
910->Feature of type 2 starts(6, 6) ends(28, 12) in (x, y) format
1422->Feature of type 2 starts(5, 7) ends(30, 12) in (x, y) format
