[1390, 7.31258791313484e-05]
[1391, 0.00012270274633904214]
[1396, 0.00013385754146077327]
[1397, 7.436530081154073e-06]
[1398, 1.859132520288518e-05]
[1399, 0.0002144199506732759]
[1400, 0.0001405034769818047]
[1401, 0.00016837193522612954]
[1402, 9.405604657459652e-05]
[1403, 0.0001242468763392818]
[1408, 0.0001958286254703906]
[1409, 7.436530081154073e-06]
[1410, 2.6027855284039257e-05]
[1411, 0.00022185648075442998]
[1412, 0.0001759805440183593]
[1413, 0.00015561242549771588]
[1414, 9.247125808372123e-05]
[1415, 0.00011528355082684186]
[1420, 0.00014873060162308145]
[1421, 7.436530081154073e-06]
[1422, 3.346438536519333e-05]
[1423, 0.0002069834205921218]
[1424, 0.00017782439474759652]
[1425, 0.00014103314066188686]
[1426, 8.507977507320351e-05]
[1427, 0.00011957157577855627]
[1432, 0.00018467383034865943]
[1433, 7.436530081154073e-06]
[1434, 3.346438536519333e-05]
[1435, 0.00016360366178538963]
[1436, 0.00020081892855116504]
[1437, 0.00013183532714045946]
[1438, 8.507977507320351e-05]
[1439, 9.044516629403618e-05]
[1448, 0.00014979296306324638]
[1449, 0.00016049246042490687]
[1450, 3.9231490326088336e-05]
[1451, 0.0001390934657015859]
[1460, 0.0001462264639426929]
[1461, 0.00016049246042490687]
[1462, 4.2797989446641824e-05]
[1463, 0.0001390934657015859]
[1472, 0.00014979296306324638]
[1473, 0.00016405895954546036]
[1474, 6.063048504940926e-05]
[1475, 0.0001462264639426929]
[1480, 0.0001426599648221394]
[1481, 1.4265996482213939e-05]
[1482, 2.4965493843874393e-05]
[1483, 0.0001390934657015859]
[1484, 0.00015120944498346622]
[1485, 0.0001474911799428891]
[1486, 7.06470357709637e-05]
[1487, 0.00016236424010519727]
[1492, 0.00017119195778656735]
[1493, 1.4265996482213939e-05]
[1494, 2.4965493843874393e-05]
[1495, 0.0001426599648221394]
[1496, 0.00011902154041847089]
[1497, 0.00012366628345919172]
[1498, 7.373529577144297e-05]
[1499, 0.00015908244914468795]
[1504, 0.00012482746921937192]
[1505, 1.4265996482213939e-05]
[1506, 9.629547625494408e-05]
[1507, 0.00015692596130435337]
[1508, 0.0002028446374814794]
[1509, 0.00011546540902791907]
[1510, 0.00017683891472744357]
[1511, 0.00016435616780550638]
[1516, 0.0001355269665810324]
[1517, 1.4265996482213939e-05]
[1518, 8.916247801383712e-05]
[1519, 0.00015335946218379988]
[1520, 0.00020700555312212513]
[1521, 0.00011546540902791907]
[1522, 0.00017267799908679784]
[1523, 0.00016435616780550638]
[1528, 0.0001355269665810324]
[1529, 1.4265996482213939e-05]
[1530, 8.916247801383712e-05]
[1531, 0.00015335946218379988]
[1532, 0.00020700555312212513]
[1533, 0.00011546540902791907]
[1534, 0.00017267799908679784]
[1535, 0.00016435616780550638]
[1592, 0.00016405895954546036]
[1593, 3.209849208498136e-05]
[1594, 3.9231490326088336e-05]
[1595, 0.00015692596130435337]
[1604, 0.0001355269665810324]
[1605, 2.4965493843874393e-05]
[1606, 0.00015692596130435337]
[1607, 0.00016762545866601386]
[1616, 0.0001355269665810324]
[1617, 2.4965493843874393e-05]
[1618, 0.00015692596130435337]
[1619, 0.00016762545866601386]
[1628, 0.0001355269665810324]
[1629, 2.4965493843874393e-05]
[1630, 0.00015692596130435337]
[1631, 0.00016762545866601386]
[1676, 0.00012839396833992542]
[1677, 3.209849208498136e-05]
[1678, 0.00016049246042490687]
[1679, 0.00016049246042490687]
[1688, 0.0001462264639426929]
[1689, 2.8531992964427877e-05]
[1690, 0.0001462264639426929]
[1691, 0.00016049246042490687]
[1700, 0.0001462264639426929]
[1701, 2.8531992964427877e-05]
[1702, 0.0001462264639426929]
[1703, 0.00016049246042490687]
[1712, 0.0001462264639426929]
[1713, 2.8531992964427877e-05]
[1714, 0.0001462264639426929]
[1715, 0.00016049246042490687]
[1724, 0.0001462264639426929]
[1725, 2.8531992964427877e-05]
[1726, 0.0001462264639426929]
[1727, 0.00016049246042490687]
[1768, 0.00014979296306324638]
[1769, 0.0001390934657015859]
[1770, 6.063048504940926e-05]
[1771, 0.0001462264639426929]
[1772, 0.00014979296306324638]
[1773, 9.986197537549756e-05]
[1774, 5.7063985928855774e-05]
[1775, 0.00017475845690712084]
[1780, 0.0001355269665810324]
[1781, 0.0001426599648221394]
[1782, 7.132998241106971e-05]
[1783, 0.00015335946218379988]
[1784, 0.0001355269665810324]
[1785, 0.00010342847449605104]
[1786, 6.776348329051623e-05]
[1787, 0.00016049246042490687]
[1792, 0.00017119195778656735]
[1793, 0.00015335946218379988]
[1794, 7.489648153162319e-05]
[1795, 0.00014979296306324638]
[1796, 0.00020705078046604552]
[1797, 0.00011777200356784221]
[1798, 0.00011587245512319962]
[1799, 7.978103467498989e-05]
[1804, 0.00011397290667855702]
[1805, 0.00018425619913033385]
[1806, 0.00011967155201248486]
[1807, 0.00012916929423569798]
[1808, 0.00010818380665678904]
[1809, 0.00011234472229743473]
[1810, 0.00014043090287179345]
[1811, 7.90573971722689e-05]
[1816, 9.049991518404468e-05]
[1817, 0.00017891937254776647]
[1818, 8.84194573637218e-05]
[1819, 0.00010402289101614331]
[1820, 0.00012663656297617443]
[1821, 0.00010468622539363753]
[1822, 0.0001981158674116151]
[1823, 0.0001353604150923109]
[1852, 0.0001355269665810324]
[1853, 0.0001390934657015859]
[1854, 5.349748680830229e-05]
[1855, 0.00015335946218379988]
[1856, 0.0001426599648221394]
[1857, 9.986197537549756e-05]
[1858, 4.99309876877488e-05]
[1859, 0.00015692596130435337]
[1864, 0.00017119195778656735]
[1865, 0.0001390934657015859]
[1866, 5.7063985928855774e-05]
[1867, 0.0001390934657015859]
[1868, 0.00017119195778656735]
[1869, 9.986197537549756e-05]
[1870, 5.7063985928855774e-05]
[1871, 0.00014979296306324638]
[1876, 0.00017119195778656735]
[1877, 0.0001462264639426929]
