[186, 0]
[270, 0]
[282, 0]
[442, 0]
[641, 0]
[665, 0]
[725, 0]
[809, 0]
[945, 0]
[957, 0]
[354, 1.575988588823516e-11]
[366, 1.5765322979643394e-11]
[378, 1.5770763823882826e-11]
[438, 1.5776208424842455e-11]
[454, 1.5781656786413745e-11]
[466, 1.5787108912495794e-11]
[478, 1.579256480699116e-11]
[526, 1.5798024473807038e-11]
[538, 1.5803487916859017e-11]
[726, 1.5808955140064538e-11]
[821, 1.6480225695334632e-11]
[1385, 1.6485929757947555e-11]
[653, 1.7200876581964944e-11]
[749, 1.7206832862345726e-11]
[761, 1.7212793269200025e-11]
[814, 1.7218757806819138e-11]
[833, 1.722472647950023e-11]
[845, 1.723069929154173e-11]
[857, 1.7236676247256823e-11]
[669, 2.265856685656974e-11]
[633, 6.347748655763663e-11]
[810, 6.349931070916093e-11]
[905, 6.352114987249305e-11]
[737, 6.621821854938764e-11]
[909, 6.624099860127326e-11]
[917, 6.625821520339858e-11]
[929, 6.628102278711028e-11]
[941, 6.630384607794662e-11]
[953, 6.632668509214532e-11]
[921, 6.920297132237702e-11]
[933, 6.922301239696513e-11]
[1397, 6.924686948887287e-11]
[1409, 6.927074303064842e-11]
[1421, 6.929463303932434e-11]
[1433, 6.931853953192633e-11]
[1229, 7.564323496087461e-11]
[1313, 7.566932448545154e-11]
[1325, 7.569543201283872e-11]
[1337, 7.572155756167414e-11]
[753, 8.695531791565936e-11]
[765, 8.698530166540112e-11]
[717, 1.4384197421286393e-10]
[1205, 1.438912617318205e-10]
[70, 1.5000061536989392e-10]
[642, 1.5005201454769733e-10]
[654, 1.5655881746156876e-10]
[94, 1.6349575496287853e-10]
[1217, 1.6355175733656508e-10]
[1301, 1.6360779808827767e-10]
[1241, 1.7101869293576682e-10]
[849, 1.789419432685962e-10]
[861, 1.7900322644627086e-10]
[741, 1.8749003213005594e-10]
[657, 1.9659176926838554e-10]
[154, 2.568612690466107e-10]
[238, 2.569487447023296e-10]
[534, 2.5703627995864743e-10]
[1289, 2.571238748764551e-10]
[1481, 2.572115295167892e-10]
[1493, 2.572992439407888e-10]
[1505, 2.573870182096364e-10]
[1517, 2.5747485238453654e-10]
[1529, 2.575627465268664e-10]
[166, 2.684980554068232e-10]
[250, 2.6858969381811574e-10]
[738, 2.686813948027278e-10]
[822, 2.6877315842470143e-10]
[1386, 2.688649847483232e-10]
[82, 2.8052369091939944e-10]
[178, 2.8061950859273086e-10]
[762, 2.807153917442914e-10]
[190, 2.9315333454207833e-10]
[826, 3.0653659077734445e-10]
[645, 3.207380096044138e-10]
[837, 3.208474552222457e-10]
[522, 4.0437183820419916e-10]
[906, 4.0450911107911806e-10]
[346, 4.216825352743555e-10]
