Index 86->Feature of type 2 starts(3, 5) ends(29, 9) in (x, y) format
Index 87->Feature of type 3 starts(3, 5) ends(29, 9) in (x, y) format
Index 88->Feature of type 0 starts(3, 5) ends(29, 10) in (x, y) format
Index 89->Feature of type 1 starts(3, 5) ends(29, 10) in (x, y) format
Index 90->Feature of type 2 starts(3, 5) ends(29, 10) in (x, y) format
Index 91->Feature of type 3 starts(3, 5) ends(29, 10) in (x, y) format
Index 92->Feature of type 0 starts(3, 5) ends(29, 11) in (x, y) format
Index 93->Feature of type 1 starts(3, 5) ends(29, 11) in (x, y) format
Index 94->Feature of type 2 starts(3, 5) ends(29, 11) in (x, y) format
Index 95->Feature of type 3 starts(3, 5) ends(29, 11) in (x, y) format
Index 96->Feature of type 0 starts(4, 5) ends(23, 9) in (x, y) format
Index 97->Feature of type 1 starts(4, 5) ends(23, 9) in (x, y) format
Index 98->Feature of type 2 starts(4, 5) ends(23, 9) in (x, y) format
Index 99->Feature of type 3 starts(4, 5) ends(23, 9) in (x, y) format
Index 100->Feature of type 0 starts(4, 5) ends(23, 10) in (x, y) format
Index 101->Feature of type 1 starts(4, 5) ends(23, 10) in (x, y) format
Index 102->Feature of type 2 starts(4, 5) ends(23, 10) in (x, y) format
Index 103->Feature of type 3 starts(4, 5) ends(23, 10) in (x, y) format
Index 104->Feature of type 0 starts(4, 5) ends(23, 11) in (x, y) format
Index 105->Feature of type 1 starts(4, 5) ends(23, 11) in (x, y) format
Index 106->Feature of type 2 starts(4, 5) ends(23, 11) in (x, y) format
Index 107->Feature of type 3 starts(4, 5) ends(23, 11) in (x, y) format
Index 108->Feature of type 0 starts(4, 5) ends(24, 9) in (x, y) format
Index 109->Feature of type 1 starts(4, 5) ends(24, 9) in (x, y) format
Index 110->Feature of type 2 starts(4, 5) ends(24, 9) in (x, y) format
Index 111->Feature of type 3 starts(4, 5) ends(24, 9) in (x, y) format
Index 112->Feature of type 0 starts(4, 5) ends(24, 10) in (x, y) format
