417->Feature of type 1 starts(4, 6) ends(30, 12) in (x, y) format
273->Feature of type 1 starts(3, 6) ends(26, 12) in (x, y) format
369->Feature of type 1 starts(4, 6) ends(26, 12) in (x, y) format
1134->Feature of type 2 starts(3, 7) ends(26, 12) in (x, y) format
1446->Feature of type 2 starts(6, 7) ends(28, 12) in (x, y) format
1458->Feature of type 2 starts(6, 7) ends(29, 12) in (x, y) format
5021->Feature of type 1 starts(7, 11) ends(30, 16) in (x, y) format
402->Feature of type 2 starts(4, 6) ends(29, 11) in (x, y) format
585->Feature of type 1 starts(6, 6) ends(28, 12) in (x, y) format
1362->Feature of type 2 starts(5, 7) ends(29, 12) in (x, y) format
94->Feature of type 2 starts(1, 6) ends(27, 12) in (x, y) format
286->Feature of type 2 starts(3, 6) ends(27, 12) in (x, y) format
381->Feature of type 1 starts(4, 6) ends(27, 12) in (x, y) format
1146->Feature of type 2 starts(3, 7) ends(27, 12) in (x, y) format
501->Feature of type 1 starts(5, 6) ends(29, 12) in (x, y) format
513->Feature of type 1 starts(5, 6) ends(30, 12) in (x, y) format
525->Feature of type 1 starts(5, 6) ends(31, 12) in (x, y) format
537->Feature of type 1 starts(5, 6) ends(31, 12) in (x, y) format
1074->Feature of type 2 starts(2, 7) ends(29, 12) in (x, y) format
105->Feature of type 1 starts(1, 6) ends(28, 12) in (x, y) format
298->Feature of type 2 starts(3, 6) ends(28, 12) in (x, y) format
102->Feature of type 2 starts(1, 6) ends(28, 11) in (x, y) format
370->Feature of type 2 starts(4, 6) ends(26, 12) in (x, y) format
1230->Feature of type 2 starts(4, 7) ends(26, 12) in (x, y) format
4149->Feature of type 1 starts(7, 10) ends(29, 16) in (x, y) format
4161->Feature of type 1 starts(7, 10) ends(30, 16) in (x, y) format
4173->Feature of type 1 starts(7, 10) ends(31, 16) in (x, y) format
4185->Feature of type 1 starts(7, 10) ends(31, 16) in (x, y) format
4197->Feature of type 1 starts(7, 10) ends(31, 16) in (x, y) format
4209->Feature of type 1 starts(7, 10) ends(31, 16) in (x, y) format
5009->Feature of type 1 starts(7, 11) ends(29, 16) in (x, y) format
510->Feature of type 2 starts(5, 6) ends(30, 11) in (x, y) format
522->Feature of type 2 starts(5, 6) ends(31, 11) in (x, y) format
534->Feature of type 2 starts(5, 6) ends(31, 11) in (x, y) format
586->Feature of type 2 starts(6, 6) ends(28, 12) in (x, y) format
1374->Feature of type 2 starts(5, 7) ends(30, 12) in (x, y) format
93->Feature of type 1 starts(1, 6) ends(27, 12) in (x, y) format
489->Feature of type 1 starts(5, 6) ends(28, 12) in (x, y) format
1242->Feature of type 2 starts(4, 7) ends(27, 12) in (x, y) format
201->Feature of type 1 starts(2, 6) ends(28, 12) in (x, y) format
202->Feature of type 2 starts(2, 6) ends(28, 12) in (x, y) format
297->Feature of type 1 starts(3, 6) ends(28, 12) in (x, y) format
394->Feature of type 2 starts(4, 6) ends(28, 12) in (x, y) format
310->Feature of type 2 starts(3, 6) ends(29, 12) in (x, y) format
274->Feature of type 2 starts(3, 6) ends(26, 12) in (x, y) format
189->Feature of type 1 starts(2, 6) ends(27, 12) in (x, y) format
285->Feature of type 1 starts(3, 6) ends(27, 12) in (x, y) format
382->Feature of type 2 starts(4, 6) ends(27, 12) in (x, y) format
1170->Feature of type 2 starts(3, 7) ends(29, 12) in (x, y) format
106->Feature of type 2 starts(1, 6) ends(28, 12) in (x, y) format
214->Feature of type 2 starts(2, 6) ends(29, 12) in (x, y) format
406->Feature of type 2 starts(4, 6) ends(29, 12) in (x, y) format
1222->Feature of type 2 starts(4, 7) ends(25, 13) in (x, y) format
1581->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
1593->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
1605->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
1617->Feature of type 1 starts(7, 7) ends(31, 13) in (x, y) format
2430->Feature of type 2 starts(7, 8) ends(30, 13) in (x, y) format
4049->Feature of type 1 starts(6, 10) ends(29, 15) in (x, y) format
4061->Feature of type 1 starts(6, 10) ends(30, 15) in (x, y) format
477->Feature of type 1 starts(5, 6) ends(27, 12) in (x, y) format
1386->Feature of type 2 starts(5, 7) ends(31, 12) in (x, y) format
1398->Feature of type 2 starts(5, 7) ends(31, 12) in (x, y) format
1182->Feature of type 2 starts(3, 7) ends(30, 12) in (x, y) format
1414->Feature of type 2 starts(6, 7) ends(25, 13) in (x, y) format
1570->Feature of type 2 starts(7, 7) ends(30, 13) in (x, y) format
1665->Feature of type 1 starts(8, 7) ends(30, 13) in (x, y) format
1677->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1689->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1701->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1713->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
1725->Feature of type 1 starts(8, 7) ends(31, 13) in (x, y) format
3137->Feature of type 1 starts(6, 9) ends(25, 14) in (x, y) format
3773->Feature of type 1 starts(3, 10) ends(30, 15) in (x, y) format
3857->Feature of type 1 starts(4, 10) ends(29, 15) in (x, y) format
3869->Feature of type 1 starts(4, 10) ends(30, 15) in (x, y) format
3881->Feature of type 1 starts(4, 10) ends(31, 15) in (x, y) format
3953->Feature of type 1 starts(5, 10) ends(29, 15) in (x, y) format
3965->Feature of type 1 starts(5, 10) ends(30, 15) in (x, y) format
3977->Feature of type 1 starts(5, 10) ends(31, 15) in (x, y) format
3989->Feature of type 1 starts(5, 10) ends(31, 15) in (x, y) format
4073->Feature of type 1 starts(6, 10) ends(31, 15) in (x, y) format
4085->Feature of type 1 starts(6, 10) ends(31, 15) in (x, y) format
4097->Feature of type 1 starts(6, 10) ends(31, 15) in (x, y) format
318->Feature of type 2 starts(3, 6) ends(30, 11) in (x, y) format
1234->Feature of type 2 starts(4, 7) ends(26, 13) in (x, y) format
598->Feature of type 2 starts(6, 6) ends(29, 12) in (x, y) format
1278->Feature of type 2 starts(4, 7) ends(30, 12) in (x, y) format
1318->Feature of type 2 starts(5, 7) ends(25, 13) in (x, y) format
1330->Feature of type 2 starts(5, 7) ends(26, 13) in (x, y) format
1426->Feature of type 2 starts(6, 7) ends(26, 13) in (x, y) format
1569->Feature of type 1 starts(7, 7) ends(30, 13) in (x, y) format
3041->Feature of type 1 starts(5, 9) ends(25, 14) in (x, y) format
3389->Feature of type 1 starts(8, 9) ends(30, 14) in (x, y) format
3401->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
3413->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
3425->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
3437->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
3449->Feature of type 1 starts(8, 9) ends(31, 14) in (x, y) format
3665->Feature of type 1 starts(2, 10) ends(29, 15) in (x, y) format
3761->Feature of type 1 starts(3, 10) ends(29, 15) in (x, y) format
418->Feature of type 2 starts(4, 6) ends(30, 12) in (x, y) format
210->Feature of type 2 starts(2, 6) ends(29, 11) in (x, y) format
502->Feature of type 2 starts(5, 6) ends(29, 12) in (x, y) format
2082->Feature of type 2 starts(4, 8) ends(25, 13) in (x, y) format
