[0, [0, 0, inf], [0, 0, inf]]
[188, [0, 0, inf], [18, 853855.8683127593, 0.6103515625]]
[189, [18, -777801.7448559646, 0.008264462809917356], [0, 0, inf]]
[190, [46, -1417075.565714287, 0.004253308128544423], [0, 0, inf]]
[191, [18, -63108.74074073695, 0.8520710059171599], [19, 50880.27004219452, 0.8824609733700643]]
[192, [0, 0, inf], [0, 0, inf]]
[193, [0, 0, inf], [0, 0, inf]]
[194, [0, 0, inf], [0, 0, inf]]
[195, [0, 0, inf], [0, 0, inf]]
[196, [0, 0, inf], [22, 478122.246305421, 0.09972299168975068]]
[197, [22, -1546068.492610841, 0.0016659725114535606], [0, 0, inf]]
[198, [22, -1326539.0344827627, 0.0016659725114535606], [0, 0, inf]]
[199, [22, -84260.57142857509, 0.18367346938775508], [0, 0, inf]]
[200, [21, -369354.17435897747, 0.2901051939513478], [22, 652777.3004926089, 0.4567901234567901]]
[201, [18, -795601.6460905327, 0.002379535990481856], [0, 0, inf]]
[202, [21, -1481113.5999999982, 0.012913223140495866], [0, 0, inf]]
[203, [22, -233734.30541871674, 0.5766758494031221], [19, 17420.962025316432, 0.9403122130394859]]
[204, [0, 0, inf], [0, 0, inf]]
[205, [0, 0, inf], [0, 0, inf]]
[206, [0, 0, inf], [0, 0, inf]]
[207, [0, 0, inf], [0, 0, inf]]
[208, [0, 0, inf], [14, 578501.0261780112, 0.12098298676748581]]
[209, [22, -1574155.3497536993, 0.0], [0, 0, inf]]
[210, [14, -915445.277486911, 0.03515625], [0, 0, inf]]
[211, [22, -112347.4285714333, 0.140625], [14, 106367.32984293159, 0.6103515625]]
[212, [21, -253069.7846153886, 0.3611111111111111], [18, 423961.2839506194, 0.32653061224489793]]
[213, [18, -858710.3868312724, 0.000594883997620464], [0, 0, inf]]
[214, [21, -1210231.466666665, 0.019469983775013522], [0, 0, inf]]
[215, [18, -154805.2016460877, 0.7649586776859504], [21, 13107.200000004377, 1.0]]
[216, [0, 0, inf], [0, 0, inf]]
[217, [0, 0, inf], [0, 0, inf]]
[218, [0, 0, inf], [0, 0, inf]]
[219, [0, 0, inf], [0, 0, inf]]
[220, [0, 0, inf], [0, 0, inf]]
[221, [0, 0, inf], [0, 0, inf]]
[222, [0, 0, inf], [0, 0, inf]]
[223, [0, 0, inf], [0, 0, inf]]
[224, [0, 0, inf], [0, 0, inf]]
[225, [0, 0, inf], [0, 0, inf]]
[226, [0, 0, inf], [0, 0, inf]]
[227, [0, 0, inf], [0, 0, inf]]
[228, [0, 0, inf], [0, 0, inf]]
[229, [0, 0, inf], [0, 0, inf]]
[230, [0, 0, inf], [0, 0, inf]]
[231, [0, 0, inf], [0, 0, inf]]
[232, [0, 0, inf], [0, 0, inf]]
[233, [0, 0, inf], [0, 0, inf]]
[234, [0, 0, inf], [0, 0, inf]]
[235, [0, 0, inf], [0, 0, inf]]
[236, [0, 0, inf], [0, 0, inf]]
[237, [0, 0, inf], [0, 0, inf]]
[238, [0, 0, inf], [0, 0, inf]]
[239, [0, 0, inf], [0, 0, inf]]
[240, [0, 0, inf], [0, 0, inf]]
[241, [0, 0, inf], [0, 0, inf]]
[242, [0, 0, inf], [0, 0, inf]]
[243, [0, 0, inf], [0, 0, inf]]
[244, [0, 0, inf], [0, 0, inf]]
[245, [0, 0, inf], [0, 0, inf]]
[246, [0, 0, inf], [0, 0, inf]]
[247, [0, 0, inf], [0, 0, inf]]
[248, [0, 0, inf], [0, 0, inf]]
[249, [0, 0, inf], [0, 0, inf]]
[250, [0, 0, inf], [0, 0, inf]]
[251, [0, 0, inf], [0, 0, inf]]
[252, [0, 0, inf], [0, 0, inf]]
[253, [0, 0, inf], [0, 0, inf]]
[254, [0, 0, inf], [0, 0, inf]]
[255, [0, 0, inf], [0, 0, inf]]
[256, [0, 0, inf], [0, 0, inf]]
[257, [0, 0, inf], [0, 0, inf]]
[258, [0, 0, inf], [0, 0, inf]]
[259, [0, 0, inf], [0, 0, inf]]
[260, [0, 0, inf], [0, 0, inf]]
[261, [0, 0, inf], [0, 0, inf]]
[262, [0, 0, inf], [0, 0, inf]]
[263, [0, 0, inf], [0, 0, inf]]
[264, [0, 0, inf], [0, 0, inf]]
[265, [0, 0, inf], [0, 0, inf]]
[266, [0, 0, inf], [0, 0, inf]]
[267, [0, 0, inf], [0, 0, inf]]
[268, [0, 0, inf], [0, 0, inf]]
[269, [0, 0, inf], [0, 0, inf]]
[270, [0, 0, inf], [0, 0, inf]]
[271, [0, 0, inf], [0, 0, inf]]
[272, [0, 0, inf], [21, 241306.9128205087, 0.36634349030470914]]
[273, [21, -969932.7999999998, 0.00047258979206049145], [0, 0, inf]]
[274, [21, -1597061.9076923076, 0.014993752603082049], [0, 0, inf]]
[275, [0, 0, inf], [21, 53773.12820513174, 0.8889795918367347]]
[276, [0, 0, inf], [0, 0, inf]]
[277, [0, 0, inf], [0, 0, inf]]
[278, [0, 0, inf], [0, 0, inf]]
[279, [0, 0, inf], [0, 0, inf]]
[280, [0, 0, inf], [0, 0, inf]]
[281, [0, 0, inf], [0, 0, inf]]
[282, [0, 0, inf], [0, 0, inf]]
[283, [0, 0, inf], [0, 0, inf]]
[284, [21, -232232.69743590057, 0.5386259040105195], [18, 386203.9176954748, 0.36]]
[285, [18, -763238.1893004095, 0.0048674959437533805], [0, 0, inf]]
[286, [46, -1203615.451428575, 0.007561436672967863], [0, 0, inf]]
