Index 31->Feature of type 3 starts(1, 6) ends(22, 11) in (x, y) format
Index 32->Feature of type 0 starts(1, 6) ends(22, 12) in (x, y) format
Index 33->Feature of type 1 starts(1, 6) ends(22, 12) in (x, y) format
Index 34->Feature of type 2 starts(1, 6) ends(22, 12) in (x, y) format
Index 35->Feature of type 3 starts(1, 6) ends(22, 12) in (x, y) format
Index 36->Feature of type 0 starts(1, 6) ends(23, 10) in (x, y) format
Index 37->Feature of type 1 starts(1, 6) ends(23, 10) in (x, y) format
Index 38->Feature of type 2 starts(1, 6) ends(23, 10) in (x, y) format
Index 39->Feature of type 3 starts(1, 6) ends(23, 10) in (x, y) format
Index 40->Feature of type 0 starts(1, 6) ends(23, 11) in (x, y) format
Index 41->Feature of type 1 starts(1, 6) ends(23, 11) in (x, y) format
Index 42->Feature of type 2 starts(1, 6) ends(23, 11) in (x, y) format
Index 43->Feature of type 3 starts(1, 6) ends(23, 11) in (x, y) format
Index 44->Feature of type 0 starts(1, 6) ends(23, 12) in (x, y) format
Index 45->Feature of type 1 starts(1, 6) ends(23, 12) in (x, y) format
Index 46->Feature of type 2 starts(1, 6) ends(23, 12) in (x, y) format
Index 47->Feature of type 3 starts(1, 6) ends(23, 12) in (x, y) format
Index 48->Feature of type 0 starts(1, 6) ends(24, 10) in (x, y) format
Index 49->Feature of type 1 starts(1, 6) ends(24, 10) in (x, y) format
Index 50->Feature of type 2 starts(1, 6) ends(24, 10) in (x, y) format
Index 51->Feature of type 3 starts(1, 6) ends(24, 10) in (x, y) format
Index 52->Feature of type 0 starts(1, 6) ends(24, 11) in (x, y) format
Index 53->Feature of type 1 starts(1, 6) ends(24, 11) in (x, y) format
Index 54->Feature of type 2 starts(1, 6) ends(24, 11) in (x, y) format
Index 55->Feature of type 3 starts(1, 6) ends(24, 11) in (x, y) format
Index 56->Feature of type 0 starts(1, 6) ends(24, 12) in (x, y) format
Index 57->Feature of type 1 starts(1, 6) ends(24, 12) in (x, y) format
Index 58->Feature of type 2 starts(1, 6) ends(24, 12) in (x, y) format
Index 59->Feature of type 3 starts(1, 6) ends(24, 12) in (x, y) format
Index 60->Feature of type 0 starts(1, 6) ends(25, 10) in (x, y) format
Index 61->Feature of type 1 starts(1, 6) ends(25, 10) in (x, y) format
Index 62->Feature of type 2 starts(1, 6) ends(25, 10) in (x, y) format
Index 63->Feature of type 3 starts(1, 6) ends(25, 10) in (x, y) format
Index 64->Feature of type 0 starts(1, 6) ends(25, 11) in (x, y) format
Index 65->Feature of type 1 starts(1, 6) ends(25, 11) in (x, y) format
Index 66->Feature of type 2 starts(1, 6) ends(25, 11) in (x, y) format
Index 67->Feature of type 3 starts(1, 6) ends(25, 11) in (x, y) format
Index 68->Feature of type 0 starts(1, 6) ends(25, 12) in (x, y) format
Index 69->Feature of type 1 starts(1, 6) ends(25, 12) in (x, y) format
Index 70->Feature of type 2 starts(1, 6) ends(25, 12) in (x, y) format
Index 71->Feature of type 3 starts(1, 6) ends(25, 12) in (x, y) format
Index 72->Feature of type 0 starts(1, 6) ends(26, 10) in (x, y) format
Index 73->Feature of type 1 starts(1, 6) ends(26, 10) in (x, y) format
Index 74->Feature of type 2 starts(1, 6) ends(26, 10) in (x, y) format
Index 75->Feature of type 3 starts(1, 6) ends(26, 10) in (x, y) format
Index 76->Feature of type 0 starts(1, 6) ends(26, 11) in (x, y) format
Index 77->Feature of type 1 starts(1, 6) ends(26, 11) in (x, y) format
Index 78->Feature of type 2 starts(1, 6) ends(26, 11) in (x, y) format
Index 79->Feature of type 3 starts(1, 6) ends(26, 11) in (x, y) format
Index 80->Feature of type 0 starts(1, 6) ends(26, 12) in (x, y) format
Index 81->Feature of type 1 starts(1, 6) ends(26, 12) in (x, y) format
Index 82->Feature of type 2 starts(1, 6) ends(26, 12) in (x, y) format
Index 83->Feature of type 3 starts(1, 6) ends(26, 12) in (x, y) format
Index 84->Feature of type 0 starts(1, 6) ends(27, 10) in (x, y) format
Index 85->Feature of type 1 starts(1, 6) ends(27, 10) in (x, y) format
Index 86->Feature of type 2 starts(1, 6) ends(27, 10) in (x, y) format
Index 87->Feature of type 3 starts(1, 6) ends(27, 10) in (x, y) format
Index 88->Feature of type 0 starts(1, 6) ends(27, 11) in (x, y) format
Index 89->Feature of type 1 starts(1, 6) ends(27, 11) in (x, y) format
Index 90->Feature of type 2 starts(1, 6) ends(27, 11) in (x, y) format
Index 91->Feature of type 3 starts(1, 6) ends(27, 11) in (x, y) format
Index 92->Feature of type 0 starts(1, 6) ends(27, 12) in (x, y) format
Index 93->Feature of type 1 starts(1, 6) ends(27, 12) in (x, y) format
Index 94->Feature of type 2 starts(1, 6) ends(27, 12) in (x, y) format
Index 95->Feature of type 3 starts(1, 6) ends(27, 12) in (x, y) format
Index 96->Feature of type 0 starts(1, 6) ends(28, 10) in (x, y) format
Index 97->Feature of type 1 starts(1, 6) ends(28, 10) in (x, y) format
Index 98->Feature of type 2 starts(1, 6) ends(28, 10) in (x, y) format
Index 99->Feature of type 3 starts(1, 6) ends(28, 10) in (x, y) format
Index 100->Feature of type 0 starts(1, 6) ends(28, 11) in (x, y) format
Index 101->Feature of type 1 starts(1, 6) ends(28, 11) in (x, y) format
Index 102->Feature of type 2 starts(1, 6) ends(28, 11) in (x, y) format
Index 103->Feature of type 3 starts(1, 6) ends(28, 11) in (x, y) format
Index 104->Feature of type 0 starts(1, 6) ends(28, 12) in (x, y) format
Index 105->Feature of type 1 starts(1, 6) ends(28, 12) in (x, y) format
Index 106->Feature of type 2 starts(1, 6) ends(28, 12) in (x, y) format
Index 107->Feature of type 3 starts(1, 6) ends(28, 12) in (x, y) format
Index 108->Feature of type 0 starts(2, 6) ends(21, 10) in (x, y) format
Index 109->Feature of type 1 starts(2, 6) ends(21, 10) in (x, y) format
Index 110->Feature of type 2 starts(2, 6) ends(21, 10) in (x, y) format
Index 111->Feature of type 3 starts(2, 6) ends(21, 10) in (x, y) format
Index 112->Feature of type 0 starts(2, 6) ends(21, 11) in (x, y) format
