[354, <Feature of type 2 starts(3, 8) ends(27, 13) is 0>]
[355, <Feature of type 3 starts(3, 8) ends(27, 13) is 0>]
[356, <Feature of type 0 starts(3, 8) ends(27, 14) is 0>]
[357, <Feature of type 1 starts(3, 8) ends(27, 14) is 0>]
[358, <Feature of type 2 starts(3, 8) ends(27, 14) is 0>]
[359, <Feature of type 3 starts(3, 8) ends(27, 14) is 0>]
[364, <Feature of type 0 starts(3, 8) ends(28, 13) is 0>]
[365, <Feature of type 1 starts(3, 8) ends(28, 13) is 0>]
[366, <Feature of type 2 starts(3, 8) ends(28, 13) is 0>]
[367, <Feature of type 3 starts(3, 8) ends(28, 13) is 0>]
[368, <Feature of type 0 starts(3, 8) ends(28, 14) is 0>]
[369, <Feature of type 1 starts(3, 8) ends(28, 14) is 0>]
[370, <Feature of type 2 starts(3, 8) ends(28, 14) is 0>]
[371, <Feature of type 3 starts(3, 8) ends(28, 14) is 0>]
[376, <Feature of type 0 starts(3, 8) ends(29, 13) is 0>]
[377, <Feature of type 1 starts(3, 8) ends(29, 13) is 0>]
[378, <Feature of type 2 starts(3, 8) ends(29, 13) is 0>]
[379, <Feature of type 3 starts(3, 8) ends(29, 13) is 0>]
[380, <Feature of type 0 starts(3, 8) ends(29, 14) is 0>]
[381, <Feature of type 1 starts(3, 8) ends(29, 14) is 0>]
[382, <Feature of type 2 starts(3, 8) ends(29, 14) is 0>]
[383, <Feature of type 3 starts(3, 8) ends(29, 14) is 0>]
[420, <Feature of type 0 starts(3, 9) ends(25, 13) is 0>]
[421, <Feature of type 1 starts(3, 9) ends(25, 13) is 0>]
[422, <Feature of type 2 starts(3, 9) ends(25, 13) is 0>]
[423, <Feature of type 3 starts(3, 9) ends(25, 13) is 0>]
[424, <Feature of type 0 starts(3, 9) ends(25, 14) is 0>]
[425, <Feature of type 1 starts(3, 9) ends(25, 14) is 0>]
[426, <Feature of type 2 starts(3, 9) ends(25, 14) is 0>]
[427, <Feature of type 3 starts(3, 9) ends(25, 14) is 0>]
[428, <Feature of type 0 starts(3, 9) ends(25, 15) is 0>]
[429, <Feature of type 1 starts(3, 9) ends(25, 15) is 0>]
[430, <Feature of type 2 starts(3, 9) ends(25, 15) is 0>]
[431, <Feature of type 3 starts(3, 9) ends(25, 15) is 0>]
[432, <Feature of type 0 starts(3, 9) ends(26, 13) is 0>]
[433, <Feature of type 1 starts(3, 9) ends(26, 13) is 0>]
[434, <Feature of type 2 starts(3, 9) ends(26, 13) is 0>]
[435, <Feature of type 3 starts(3, 9) ends(26, 13) is 0>]
[436, <Feature of type 0 starts(3, 9) ends(26, 14) is 0>]
[437, <Feature of type 1 starts(3, 9) ends(26, 14) is 0>]
[438, <Feature of type 2 starts(3, 9) ends(26, 14) is 0>]
[439, <Feature of type 3 starts(3, 9) ends(26, 14) is 0>]
[440, <Feature of type 0 starts(3, 9) ends(26, 15) is 0>]
[441, <Feature of type 1 starts(3, 9) ends(26, 15) is 0>]
[442, <Feature of type 2 starts(3, 9) ends(26, 15) is 0>]
[443, <Feature of type 3 starts(3, 9) ends(26, 15) is 0>]
[444, <Feature of type 0 starts(3, 9) ends(27, 13) is 0>]
[445, <Feature of type 1 starts(3, 9) ends(27, 13) is 0>]
[446, <Feature of type 2 starts(3, 9) ends(27, 13) is 0>]
[447, <Feature of type 3 starts(3, 9) ends(27, 13) is 0>]
[448, <Feature of type 0 starts(3, 9) ends(27, 14) is 0>]
[449, <Feature of type 1 starts(3, 9) ends(27, 14) is 0>]
[450, <Feature of type 2 starts(3, 9) ends(27, 14) is 0>]
[451, <Feature of type 3 starts(3, 9) ends(27, 14) is 0>]
[452, <Feature of type 0 starts(3, 9) ends(27, 15) is 0>]
[453, <Feature of type 1 starts(3, 9) ends(27, 15) is 0>]
[454, <Feature of type 2 starts(3, 9) ends(27, 15) is 0>]
[455, <Feature of type 3 starts(3, 9) ends(27, 15) is 0>]
[456, <Feature of type 0 starts(3, 9) ends(28, 13) is 0>]
[457, <Feature of type 1 starts(3, 9) ends(28, 13) is 0>]
[458, <Feature of type 2 starts(3, 9) ends(28, 13) is 0>]
[459, <Feature of type 3 starts(3, 9) ends(28, 13) is 0>]
[460, <Feature of type 0 starts(3, 9) ends(28, 14) is 0>]
[461, <Feature of type 1 starts(3, 9) ends(28, 14) is 0>]
[462, <Feature of type 2 starts(3, 9) ends(28, 14) is 0>]
[463, <Feature of type 3 starts(3, 9) ends(28, 14) is 0>]
[464, <Feature of type 0 starts(3, 9) ends(28, 15) is 0>]
