Index 96->Feature of type 0 starts(3, 6) ends(22, 10) is 0
Index 97->Feature of type 1 starts(3, 6) ends(22, 10) is 0
Index 98->Feature of type 2 starts(3, 6) ends(22, 10) is 0
Index 99->Feature of type 3 starts(3, 6) ends(22, 10) is 0
Index 100->Feature of type 0 starts(3, 6) ends(22, 11) is 0
Index 101->Feature of type 1 starts(3, 6) ends(22, 11) is 0
Index 102->Feature of type 2 starts(3, 6) ends(22, 11) is 0
Index 103->Feature of type 3 starts(3, 6) ends(22, 11) is 0
Index 104->Feature of type 0 starts(3, 6) ends(22, 12) is 0
Index 105->Feature of type 1 starts(3, 6) ends(22, 12) is 0
Index 106->Feature of type 2 starts(3, 6) ends(22, 12) is 0
Index 107->Feature of type 3 starts(3, 6) ends(22, 12) is 0
Index 108->Feature of type 0 starts(3, 6) ends(23, 10) is 0
Index 109->Feature of type 1 starts(3, 6) ends(23, 10) is 0
Index 110->Feature of type 2 starts(3, 6) ends(23, 10) is 0
Index 111->Feature of type 3 starts(3, 6) ends(23, 10) is 0
Index 112->Feature of type 0 starts(3, 6) ends(23, 11) is 0
Index 113->Feature of type 1 starts(3, 6) ends(23, 11) is 0
Index 114->Feature of type 2 starts(3, 6) ends(23, 11) is 0
Index 115->Feature of type 3 starts(3, 6) ends(23, 11) is 0
Index 116->Feature of type 0 starts(3, 6) ends(23, 12) is 0
Index 117->Feature of type 1 starts(3, 6) ends(23, 12) is 0
Index 118->Feature of type 2 starts(3, 6) ends(23, 12) is 0
Index 119->Feature of type 3 starts(3, 6) ends(23, 12) is 0
Index 120->Feature of type 0 starts(3, 6) ends(24, 10) is 0
Index 121->Feature of type 1 starts(3, 6) ends(24, 10) is 0
Index 122->Feature of type 2 starts(3, 6) ends(24, 10) is 0
Index 123->Feature of type 3 starts(3, 6) ends(24, 10) is 0
Index 124->Feature of type 0 starts(3, 6) ends(24, 11) is 0
Index 125->Feature of type 1 starts(3, 6) ends(24, 11) is 0
Index 126->Feature of type 2 starts(3, 6) ends(24, 11) is 0
Index 127->Feature of type 3 starts(3, 6) ends(24, 11) is 0
Index 128->Feature of type 0 starts(3, 6) ends(24, 12) is 0
Index 129->Feature of type 1 starts(3, 6) ends(24, 12) is 0
Index 130->Feature of type 2 starts(3, 6) ends(24, 12) is 0
Index 131->Feature of type 3 starts(3, 6) ends(24, 12) is 0
Index 132->Feature of type 0 starts(3, 6) ends(25, 10) is 0
Index 133->Feature of type 1 starts(3, 6) ends(25, 10) is 0
Index 134->Feature of type 2 starts(3, 6) ends(25, 10) is 0
Index 135->Feature of type 3 starts(3, 6) ends(25, 10) is 0
Index 136->Feature of type 0 starts(3, 6) ends(25, 11) is 0
Index 137->Feature of type 1 starts(3, 6) ends(25, 11) is 0
Index 138->Feature of type 2 starts(3, 6) ends(25, 11) is 0
Index 139->Feature of type 3 starts(3, 6) ends(25, 11) is 0
Index 140->Feature of type 0 starts(3, 6) ends(25, 12) is 0
Index 141->Feature of type 1 starts(3, 6) ends(25, 12) is 0
Index 142->Feature of type 2 starts(3, 6) ends(25, 12) is 0
Index 143->Feature of type 3 starts(3, 6) ends(25, 12) is 0
Index 144->Feature of type 0 starts(3, 6) ends(26, 10) is 0
Index 145->Feature of type 1 starts(3, 6) ends(26, 10) is 0
Index 146->Feature of type 2 starts(3, 6) ends(26, 10) is 0
Index 147->Feature of type 3 starts(3, 6) ends(26, 10) is 0
Index 148->Feature of type 0 starts(3, 6) ends(26, 11) is 0
Index 149->Feature of type 1 starts(3, 6) ends(26, 11) is 0
